season,gamenumber,gamedate,hteamcode,vteamcode
2011,20528,12/26/2011,SJ,ANA
2011,20529,12/27/2011,PIT,CAR
2011,20530,12/27/2011,CBJ,CGY
2011,20531,12/27/2011,OTT,MTL
2011,20532,12/27/2011,TB,PHI
2011,20533,12/27/2011,FLA,TOR
2011,20534,12/27/2011,DET,STL
2011,20535,12/27/2011,COL,WPG
2011,20536,12/28/2011,NJ,BUF
2011,20537,12/28/2011,WSH,NYR
2011,20538,12/28/2011,NSH,MIN
2011,20539,12/28/2011,CHI,LA
2011,20540,12/28/2011,PHX,BOS
2011,20541,12/28/2011,SJ,VAN
2011,20542,12/29/2011,NYI,CGY
2011,20543,12/29/2011,PIT,PHI
2011,20544,12/29/2011,CAR,TOR
2011,20545,12/29/2011,TB,MTL
2011,20546,12/29/2011,MIN,EDM
2011,20547,12/29/2011,WPG,LA
2011,20548,12/29/2011,DAL,CBJ
2011,20549,12/29/2011,COL,PHX
2011,20550,12/29/2011,ANA,VAN
2011,20551,12/30/2011,WSH,BUF
2011,20552,12/30/2011,OTT,CGY
2011,20553,12/30/2011,FLA,NYR
2011,20554,12/30/2011,STL,NSH
2011,20555,12/30/2011,CHI,DET
2011,20556,12/31/2011,NJ,PIT
2011,20557,12/31/2011,NYI,EDM
2011,20558,12/31/2011,TB,CAR
2011,20559,12/31/2011,FLA,MTL
2011,20560,12/31/2011,MIN,PHX
2011,20561,12/31/2011,BUF,OTT
2011,20562,12/31/2011,WPG,TOR
2011,20563,12/31/2011,DET,STL
2011,20564,12/31/2011,CBJ,WSH
2011,20565,12/31/2011,DAL,BOS
2011,20566,12/31/2011,ANA,COL
2011,20567,12/31/2011,LA,VAN
2011,20568,1/1/2012,NSH,CGY
2011,20569,1/2/2012,PHI,NYR
2011,20570,1/2/2012,OTT,NJ
2011,20571,1/2/2012,CHI,EDM
2011,20572,1/2/2012,VAN,SJ
2011,20573,1/2/2012,LA,COL
2011,20574,1/3/2012,BUF,EDM
2011,20575,1/3/2012,TOR,TB
2011,20576,1/3/2012,WSH,CGY
2011,20577,1/3/2012,CAR,NYI
2011,20578,1/3/2012,STL,PHX
2011,20579,1/3/2012,DAL,DET
2011,20580,1/4/2012,MTL,WPG
2011,20581,1/4/2012,NJ,BOS
2011,20582,1/4/2012,VAN,MIN
2011,20583,1/4/2012,ANA,SJ
2011,20584,1/5/2012,BOS,CGY
2011,20585,1/5/2012,TOR,WPG
2011,20586,1/5/2012,NYR,FLA
2011,20587,1/5/2012,PHI,CHI
2011,20588,1/5/2012,OTT,TB
2011,20589,1/5/2012,STL,EDM
2011,20590,1/5/2012,NSH,DAL
2011,20591,1/5/2012,LA,PHX
2011,20592,1/5/2012,SJ,CBJ
2011,20593,1/6/2012,NJ,FLA
2011,20594,1/6/2012,PIT,NYR
2011,20595,1/6/2012,CAR,BUF
2011,20596,1/6/2012,CHI,COL
2011,20597,1/6/2012,ANA,NYI
2011,20598,1/7/2012,BOS,VAN
2011,20599,1/7/2012,PHI,OTT
2011,20600,1/7/2012,DAL,EDM
2011,20601,1/7/2012,LA,CBJ
2011,20602,1/7/2012,BUF,WPG
2011,20603,1/7/2012,TOR,DET
2011,20604,1/7/2012,MTL,TB
2011,20605,1/7/2012,PIT,NJ
2011,20606,1/7/2012,STL,COL
2011,20607,1/7/2012,NSH,CAR
2011,20608,1/7/2012,PHX,NYI
2011,20609,1/7/2012,CGY,MIN
2011,20610,1/7/2012,SJ,WSH
2011,20611,1/8/2012,OTT,PHI
2011,20612,1/8/2012,CHI,DET
2011,20613,1/8/2012,ANA,CBJ
2011,20614,1/9/2012,FLA,VAN
2011,20615,1/9/2012,LA,WSH
2011,20616,1/10/2012,BOS,WPG
2011,20617,1/10/2012,TOR,BUF
2011,20618,1/10/2012,NYI,DET
2011,20619,1/10/2012,NYR,PHX
2011,20620,1/10/2012,PIT,OTT
2011,20621,1/10/2012,CAR,PHI
2011,20622,1/10/2012,MTL,STL
2011,20623,1/10/2012,TB,VAN
2011,20624,1/10/2012,MIN,SJ
